,type_of_property,subtype_of_property,bedrooms,bathrooms,region,province,postal_code,floor,living_area,state_of_property,year_of_construction,facade_count,heating,kitchen,epc_score,price,garden,terrace,neighborhood_type,fireplace,rooms,furnished,pools,age_of_property
0,HOUSE,VILLA,2,1.0,Wallonie,Namur,5640,,204.0,GOOD,,4.0,GAS,INSTALLED,C,229000,,,unknown,True,,False,False,
1,APARTMENT,GROUND_FLOOR,2,2.0,Flandres,Flandre Occidentale,8670,0.0,85.0,AS_NEW,1996.0,4.0,ELECTRIC,USA_INSTALLED,F,500000,,18.0,RESIDENTIAL,False,,False,False,27.0
2,APARTMENT,DUPLEX,2,1.0,Bruxelles,Bruxelles,1060,0.0,75.0,JUST_RENOVATED,,2.0,unknown,USA_INSTALLED,D,285000,,4.0,ISOLATED,False,,False,False,
3,APARTMENT,APARTMENT,2,1.0,Flandres,Anvers,2550,2.0,85.0,JUST_RENOVATED,1995.0,3.0,GAS,HYPER_EQUIPPED,B,279000,,,URBAN,False,,True,False,28.0
5,HOUSE,HOUSE,2,1.0,Wallonie,Hainaut,6180,,102.0,TO_RENOVATE,,2.0,unknown,NOT_INSTALLED,G,75000,,,ISOLATED,False,,False,False,
6,APARTMENT,GROUND_FLOOR,3,1.0,Flandres,Flandre Orientale,9700,0.0,115.0,GOOD,1976.0,,ELECTRIC,INSTALLED,D,185000,,,URBAN,False,,False,False,47.0
7,APARTMENT,APARTMENT,3,1.0,Flandres,Anvers,2640,2.0,106.0,GOOD,1973.0,3.0,unknown,INSTALLED,C,269000,,6.0,RESIDENTIAL,False,,False,False,50.0
8,APARTMENT,APARTMENT,3,1.0,Flandres,Anvers,2500,4.0,138.0,unknown,2022.0,2.0,unknown,INSTALLED,unknown,404442,,37.0,URBAN,True,,False,False,1.0
9,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2180,,106.0,TO_RENOVATE,1899.0,2.0,GAS,NOT_INSTALLED,F,199000,103.0,,RESIDENTIAL,False,,False,False,124.0
10,APARTMENT,APARTMENT,1,1.0,Flandres,Anvers,2500,4.0,82.0,unknown,2022.0,2.0,unknown,INSTALLED,unknown,272471,,15.0,URBAN,True,,False,False,1.0
11,APARTMENT,PENTHOUSE,3,1.0,Flandres,Anvers,2500,4.0,138.0,unknown,2022.0,2.0,unknown,INSTALLED,unknown,404442,,37.0,URBAN,True,,False,False,1.0
12,HOUSE,HOUSE,3,1.0,Wallonie,Hainaut,6032,,,TO_BE_DONE_UP,,2.0,unknown,unknown,E,135000,,,unknown,False,,False,False,
13,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2850,,123.0,TO_RENOVATE,,3.0,GAS,USA_SEMI_EQUIPPED,F,199000,,,URBAN,False,,False,False,
14,HOUSE,HOUSE,3,1.0,Wallonie,Hainaut,7812,,189.0,AS_NEW,,4.0,unknown,unknown,A+,396309,,,unknown,False,,False,False,
15,HOUSE,HOUSE,4,1.0,Wallonie,Hainaut,7387,,147.0,AS_NEW,,4.0,unknown,unknown,A+,341426,,,unknown,False,,False,False,
16,APARTMENT,GROUND_FLOOR,3,1.0,Flandres,Flandre Occidentale,8300,0.0,116.0,AS_NEW,2009.0,2.0,GAS,unknown,B,649000,100.0,,unknown,False,,False,False,14.0
17,APARTMENT,APARTMENT,3,2.0,Bruxelles,Bruxelles,1000,1.0,202.0,GOOD,1925.0,3.0,unknown,INSTALLED,F,725000,,8.0,COUNTRY,False,,False,False,98.0
18,APARTMENT,APARTMENT,3,2.0,Bruxelles,Bruxelles,1080,0.0,160.0,AS_NEW,1930.0,,GAS,USA_HYPER_EQUIPPED,D,379500,25.0,16.0,URBAN,False,,False,False,93.0
19,HOUSE,VILLA,3,1.0,Flandres,Flandre Orientale,9500,,181.0,AS_NEW,2023.0,3.0,GAS,USA_HYPER_EQUIPPED,unknown,327000,,,COUNTRY,False,,False,False,0.0
20,HOUSE,VILLA,3,1.0,Flandres,Flandre Orientale,9500,,184.0,AS_NEW,2023.0,3.0,GAS,USA_HYPER_EQUIPPED,unknown,329000,,,COUNTRY,False,,False,False,0.0
21,APARTMENT,PENTHOUSE,2,1.0,Bruxelles,Bruxelles,1190,3.0,97.0,TO_RENOVATE,1962.0,2.0,GAS,unknown,G,235000,,10.0,URBAN,False,,False,False,61.0
22,HOUSE,VILLA,3,1.0,Flandres,Flandre Orientale,9500,,184.0,AS_NEW,2023.0,3.0,GAS,USA_HYPER_EQUIPPED,unknown,329000,,,COUNTRY,False,,False,False,0.0
23,HOUSE,VILLA,3,1.0,Flandres,Flandre Orientale,9500,,177.0,AS_NEW,2024.0,3.0,GAS,USA_HYPER_EQUIPPED,unknown,335000,,,COUNTRY,False,,False,False,-1.0
24,HOUSE,VILLA,3,1.0,Flandres,Flandre Orientale,9500,,177.0,AS_NEW,2024.0,3.0,GAS,USA_HYPER_EQUIPPED,unknown,334000,,,COUNTRY,False,,False,False,-1.0
25,APARTMENT,PENTHOUSE,2,1.0,Bruxelles,Bruxelles,1180,3.0,97.0,TO_RENOVATE,1962.0,2.0,GAS,unknown,G,235000,,10.0,URBAN,False,,False,False,61.0
26,APARTMENT,APARTMENT,1,1.0,Bruxelles,Bruxelles,1140,0.0,,unknown,2003.0,4.0,ELECTRIC,INSTALLED,G,209000,,,unknown,True,,False,False,20.0
27,APARTMENT,APARTMENT,1,1.0,Bruxelles,Bruxelles,1140,0.0,47.0,GOOD,1977.0,,GAS,SEMI_EQUIPPED,G,159000,,10.0,unknown,True,,False,False,46.0
28,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Orientale,9990,2.0,90.0,unknown,,2.0,unknown,HYPER_EQUIPPED,C,289000,,3.0,URBAN,False,,False,False,
29,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1070,5.0,92.0,TO_BE_DONE_UP,1964.0,2.0,GAS,unknown,G,210000,,,unknown,False,,False,False,59.0
30,HOUSE,HOUSE,2,1.0,Flandres,Brabant Flamand,3140,,,GOOD,,4.0,GAS,INSTALLED,unknown,349000,,,unknown,False,15.0,False,False,
31,HOUSE,VILLA,4,1.0,Wallonie,Brabant Wallon,1410,,146.0,unknown,,,unknown,unknown,D,565000,,,unknown,False,17.0,False,False,
32,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Orientale,9000,0.0,153.0,AS_NEW,2020.0,2.0,unknown,USA_HYPER_EQUIPPED,unknown,1570000,,21.0,URBAN,False,3.0,False,False,3.0
33,APARTMENT,APARTMENT,1,1.0,Flandres,Flandre Orientale,9800,0.0,60.0,GOOD,1997.0,3.0,GAS,USA_INSTALLED,B,174000,,,ISOLATED,False,,False,False,26.0
34,HOUSE,HOUSE,3,,Wallonie,Hainaut,7880,,180.0,TO_RENOVATE,,2.0,unknown,unknown,unknown,115000,,,unknown,True,,False,False,
35,HOUSE,VILLA,6,1.0,Flandres,Brabant Flamand,3090,,280.0,unknown,1992.0,,unknown,unknown,B,840000,300.0,,unknown,True,,False,False,31.0
36,HOUSE,VILLA,3,2.0,Wallonie,Hainaut,7911,,200.0,unknown,2007.0,,unknown,SEMI_EQUIPPED,A,485000,,,unknown,True,,False,False,16.0
37,HOUSE,VILLA,6,1.0,Wallonie,Brabant Wallon,1332,,280.0,unknown,1992.0,,unknown,unknown,B,840000,300.0,,unknown,True,,False,False,31.0
38,HOUSE,VILLA,4,1.0,Flandres,Flandre Orientale,9690,,240.0,TO_BE_DONE_UP,,4.0,FUELOIL,SEMI_EQUIPPED,unknown,415000,,,unknown,True,,False,False,
39,HOUSE,VILLA,5,1.0,Flandres,Flandre Occidentale,8720,,360.0,GOOD,,4.0,FUELOIL,SEMI_EQUIPPED,D,449000,,,unknown,True,,False,False,
40,HOUSE,HOUSE,5,1.0,Flandres,Anvers,2381,,,unknown,1948.0,4.0,FUELOIL,USA_SEMI_EQUIPPED,D,680000,,,URBAN,False,,False,False,75.0
41,HOUSE,HOUSE,1,,Flandres,Flandre Occidentale,8793,,600.0,GOOD,1957.0,,unknown,unknown,unknown,410000,,,unknown,True,,False,False,66.0
42,APARTMENT,PENTHOUSE,2,1.0,Flandres,Anvers,2890,0.0,113.0,AS_NEW,,,unknown,unknown,unknown,349000,,50.0,unknown,False,,False,False,
43,HOUSE,HOUSE,4,1.0,Flandres,Flandre Orientale,9140,,210.0,GOOD,1986.0,3.0,unknown,unknown,C,450000,235.0,34.0,unknown,False,,False,False,37.0
44,HOUSE,APARTMENT_BLOCK,9,5.0,Flandres,Brabant Flamand,1700,,578.0,GOOD,1987.0,3.0,GAS,SEMI_EQUIPPED,C,1500000,,,URBAN,False,,False,False,36.0
45,HOUSE,HOUSE,2,1.0,Flandres,Anvers,2500,,166.0,unknown,1932.0,2.0,GAS,SEMI_EQUIPPED,A,379000,,,unknown,True,,False,False,91.0
46,APARTMENT,APARTMENT,2,2.0,Flandres,Brabant Flamand,1701,2.0,83.0,AS_NEW,,,GAS,INSTALLED,E,259000,,,unknown,False,,False,False,
47,APARTMENT,APARTMENT,2,1.0,Flandres,Brabant Flamand,1700,5.0,82.0,GOOD,1985.0,3.0,GAS,INSTALLED,C,250000,,10.0,unknown,False,,False,False,38.0
48,HOUSE,VILLA,5,4.0,Bruxelles,Bruxelles,1180,,393.0,GOOD,1910.0,4.0,unknown,HYPER_EQUIPPED,F,1480000,2320.0,,ISOLATED,False,6.0,False,False,113.0
49,APARTMENT,KOT,0,1.0,Bruxelles,Bruxelles,1000,2.0,24.0,AS_NEW,2022.0,2.0,GAS,INSTALLED,B,216500,,,URBAN,False,,True,False,1.0
50,APARTMENT,GROUND_FLOOR,3,2.0,Wallonie,Brabant Wallon,1332,0.0,130.0,AS_NEW,2009.0,3.0,GAS,USA_HYPER_EQUIPPED,B,598000,1000.0,70.0,unknown,False,,False,False,14.0
51,HOUSE,HOUSE,4,1.0,Bruxelles,Bruxelles,1140,,155.0,TO_RENOVATE,1921.0,2.0,GAS,NOT_INSTALLED,E,380000,110.0,,unknown,False,,False,False,102.0
52,APARTMENT,APARTMENT,1,1.0,Bruxelles,Bruxelles,1070,2.0,71.0,TO_BE_DONE_UP,,2.0,GAS,NOT_INSTALLED,E,149000,,2.0,unknown,False,,False,False,
53,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1070,6.0,88.0,GOOD,1995.0,2.0,ELECTRIC,INSTALLED,unknown,219000,,7.0,unknown,False,,False,False,28.0
54,HOUSE,HOUSE,4,1.0,Wallonie,Liège,4430,,144.0,TO_RENOVATE,1920.0,2.0,FUELOIL,NOT_INSTALLED,F,125000,,,URBAN,False,,False,False,103.0
55,HOUSE,HOUSE,3,2.0,Wallonie,Brabant Wallon,1332,,130.0,AS_NEW,2009.0,3.0,GAS,USA_HYPER_EQUIPPED,B,598000,1000.0,70.0,unknown,False,,False,False,14.0
56,HOUSE,HOUSE,3,1.0,Flandres,Brabant Flamand,1755,,140.0,AS_NEW,,3.0,unknown,unknown,A,381000,,,URBAN,False,,False,False,
57,HOUSE,HOUSE,3,1.0,Wallonie,Liège,4870,,150.0,TO_RENOVATE,,2.0,GAS,NOT_INSTALLED,G,78000,,,URBAN,False,,False,False,
58,HOUSE,APARTMENT_BLOCK,5,2.0,Bruxelles,Bruxelles,1200,,297.0,GOOD,,2.0,GAS,unknown,E,875000,27.0,,unknown,False,,False,False,
59,HOUSE,TOWN_HOUSE,3,1.0,Bruxelles,Bruxelles,1200,,131.0,GOOD,1950.0,2.0,GAS,USA_INSTALLED,E,625000,60.0,,ISOLATED,False,,False,False,73.0
60,APARTMENT,APARTMENT,10,4.0,Flandres,Brabant Flamand,1755,0.0,432.0,unknown,,4.0,unknown,HYPER_EQUIPPED,unknown,1761265,,68.0,COUNTRY,False,,False,False,
61,APARTMENT,APARTMENT,1,1.0,Bruxelles,Bruxelles,1080,3.0,55.0,AS_NEW,,2.0,GAS,unknown,unknown,169000,,,unknown,False,,False,True,
62,APARTMENT,APARTMENT,3,1.0,Bruxelles,Bruxelles,1030,5.0,118.0,TO_RENOVATE,1961.0,2.0,GAS,SEMI_EQUIPPED,D,325000,,7.0,unknown,False,,False,False,62.0
63,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1040,1.0,115.0,GOOD,1935.0,3.0,FUELOIL,INSTALLED,F,420000,,,unknown,False,,False,False,88.0
64,APARTMENT,APARTMENT,3,1.0,Flandres,Flandre Orientale,9320,2.0,132.0,GOOD,1972.0,3.0,PELLET,HYPER_EQUIPPED,F,229000,,4.0,COUNTRY,False,,False,False,51.0
65,APARTMENT,APARTMENT,3,1.0,Bruxelles,Bruxelles,1050,7.0,160.0,GOOD,1937.0,2.0,GAS,unknown,D,620000,,3.0,URBAN,False,,False,False,86.0
66,HOUSE,BUNGALOW,3,1.0,Wallonie,Liège,4684,,120.0,unknown,,4.0,ELECTRIC,USA_INSTALLED,G,295000,1721.0,12.0,URBAN,False,,False,False,
67,HOUSE,MIXED_USE_BUILDING,9,,Bruxelles,Bruxelles,1080,,400.0,TO_RENOVATE,,2.0,GAS,unknown,G,798000,,53.0,unknown,False,,False,False,
68,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1050,6.0,88.0,TO_BE_DONE_UP,1986.0,3.0,GAS,unknown,E,310000,,,URBAN,False,,False,False,37.0
69,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9680,,130.0,unknown,2023.0,3.0,unknown,unknown,unknown,369000,,,unknown,False,,False,False,0.0
70,HOUSE,APARTMENT_BLOCK,0,,Flandres,Anvers,2840,,,AS_NEW,,,GAS,INSTALLED,B,950000,,,unknown,False,,False,False,
71,HOUSE,HOUSE,5,3.0,Flandres,Flandre Orientale,9340,,367.0,GOOD,,2.0,GAS,INSTALLED,D,305000,,,RESIDENTIAL,False,,False,False,
72,HOUSE,HOUSE,5,1.0,Flandres,Anvers,2840,,242.0,AS_NEW,,,unknown,unknown,B,565000,,,unknown,False,,False,False,
73,HOUSE,HOUSE,4,1.0,Wallonie,Namur,5660,,285.0,TO_BE_DONE_UP,,3.0,FUELOIL,SEMI_EQUIPPED,E,225000,1.0,25.0,RESIDENTIAL,False,,False,False,
74,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9220,,140.0,AS_NEW,,,GAS,unknown,C,339000,,,unknown,False,,False,False,
75,HOUSE,HOUSE,4,1.0,Flandres,Flandre Occidentale,8300,,155.0,AS_NEW,2001.0,,GAS,unknown,B,1650000,,,unknown,False,5.0,False,False,22.0
76,HOUSE,HOUSE,3,1.0,Flandres,Flandre Occidentale,8300,,165.0,unknown,,,unknown,unknown,B,795000,,,URBAN,False,,False,False,
77,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9890,,,unknown,2023.0,,unknown,unknown,unknown,492539,,,COUNTRY,False,,False,False,0.0
78,HOUSE,HOUSE,4,,Flandres,Flandre Orientale,9890,,,unknown,2023.0,,unknown,unknown,unknown,628724,,,unknown,False,,False,False,0.0
79,HOUSE,HOUSE,3,,Flandres,Flandre Orientale,9940,,,unknown,,,unknown,unknown,unknown,370657,,,unknown,False,,False,False,
80,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9940,,,AS_NEW,2023.0,,unknown,unknown,unknown,399570,,,unknown,False,,False,False,0.0
81,HOUSE,HOUSE,3,2.0,Flandres,Flandre Orientale,9031,,248.0,unknown,2023.0,,GAS,unknown,unknown,459000,636.0,,unknown,False,,False,False,0.0
82,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9031,,,unknown,2023.0,,unknown,unknown,unknown,365876,,,unknown,False,,False,False,0.0
83,HOUSE,HOUSE,3,2.0,Flandres,Flandre Orientale,9800,,,unknown,2023.0,,unknown,unknown,unknown,369872,,,unknown,False,,False,False,0.0
84,HOUSE,HOUSE,3,,Flandres,Flandre Occidentale,8570,,,unknown,,,unknown,unknown,unknown,421140,,,unknown,False,,False,False,
85,HOUSE,HOUSE,3,,Flandres,Flandre Orientale,9800,,,unknown,2023.0,,unknown,unknown,unknown,403932,,,unknown,False,,False,False,0.0
86,HOUSE,HOUSE,4,2.0,Flandres,Flandre Occidentale,8500,,200.0,JUST_RENOVATED,1956.0,,GAS,INSTALLED,B,369000,,,unknown,False,,False,False,67.0
87,HOUSE,HOUSE,3,,Flandres,Flandre Orientale,9800,,,unknown,2023.0,,unknown,unknown,unknown,403932,,,unknown,False,,False,False,0.0
88,HOUSE,HOUSE,3,1.0,Flandres,Flandre Occidentale,8530,,110.0,unknown,,,unknown,unknown,F,145000,,,URBAN,False,,False,False,
89,HOUSE,HOUSE,5,1.0,Flandres,Flandre Occidentale,8730,,995.0,AS_NEW,,,GAS,HYPER_EQUIPPED,C,980000,,,COUNTRY,False,,False,False,
90,HOUSE,HOUSE,5,2.0,Flandres,Flandre Occidentale,8800,,350.0,unknown,1948.0,,unknown,unknown,E,835000,,,unknown,False,,False,False,75.0
91,HOUSE,VILLA,3,2.0,Flandres,Anvers,2930,,280.0,unknown,,,unknown,unknown,C,1275000,,,RESIDENTIAL,True,4.0,False,False,
92,HOUSE,APARTMENT_BLOCK,7,3.0,Flandres,Anvers,2018,,240.0,AS_NEW,,2.0,GAS,USA_INSTALLED,unknown,894000,12.0,6.0,RESIDENTIAL,False,,False,False,
93,HOUSE,HOUSE,2,1.0,Flandres,Flandre Occidentale,8620,,,AS_NEW,,,unknown,unknown,E,275000,,,unknown,False,,True,False,
94,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2800,,115.0,GOOD,,2.0,GAS,INSTALLED,unknown,290000,1.0,1.0,unknown,False,,False,False,
95,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9620,,333.0,AS_NEW,,,unknown,INSTALLED,C,495000,,,unknown,False,,False,False,
96,HOUSE,HOUSE,4,,Flandres,Flandre Orientale,9000,,165.0,TO_RENOVATE,1900.0,,unknown,SEMI_EQUIPPED,B,385000,,14.0,URBAN,False,,False,False,123.0
97,HOUSE,APARTMENT_BLOCK,0,,Flandres,Brabant Flamand,3290,,,TO_BE_DONE_UP,,,GAS,INSTALLED,unknown,319000,,,unknown,False,,False,False,
98,HOUSE,HOUSE,4,1.0,Flandres,Flandre Orientale,9000,,242.0,TO_RENOVATE,1970.0,,unknown,unknown,F,405000,,,unknown,False,,False,False,53.0
99,HOUSE,HOUSE,3,1.0,Flandres,Flandre Occidentale,8900,,157.0,unknown,,,unknown,INSTALLED,unknown,393000,,,unknown,False,,False,False,
100,HOUSE,HOUSE,3,2.0,Wallonie,Luxembourg,6747,,150.0,TO_RENOVATE,1850.0,2.0,unknown,INSTALLED,D,175000,650.0,10.0,COUNTRY,False,,False,False,173.0
101,APARTMENT,PENTHOUSE,3,1.0,Flandres,Limbourg,3500,3.0,130.0,unknown,,2.0,GAS,unknown,A,419000,,38.0,unknown,False,,False,False,
102,APARTMENT,APARTMENT,2,1.0,Flandres,Brabant Flamand,3020,1.0,94.0,unknown,2014.0,,GAS,HYPER_EQUIPPED,A,375000,,,URBAN,False,,False,False,9.0
103,APARTMENT,APARTMENT,1,1.0,Flandres,Limbourg,3500,1.0,77.0,AS_NEW,,2.0,unknown,unknown,unknown,283300,,9.0,unknown,False,,False,False,
104,APARTMENT,APARTMENT,2,1.0,Flandres,Limbourg,3500,3.0,100.0,unknown,,,unknown,unknown,A,399750,,10.0,unknown,False,,False,False,
105,APARTMENT,APARTMENT,1,1.0,Flandres,Limbourg,3500,1.0,77.0,unknown,,,unknown,unknown,A,290006,,19.0,unknown,False,,False,False,
106,APARTMENT,APARTMENT,1,1.0,Flandres,Flandre Orientale,9200,0.0,67.0,AS_NEW,,4.0,GAS,HYPER_EQUIPPED,B,199000,,,URBAN,False,,False,False,
107,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1060,4.0,94.0,AS_NEW,2018.0,2.0,GAS,USA_HYPER_EQUIPPED,B,495000,,,unknown,False,,True,False,5.0
108,APARTMENT,SERVICE_FLAT,1,1.0,Wallonie,Namur,5030,2.0,47.0,AS_NEW,1970.0,3.0,FUELOIL,SEMI_EQUIPPED,unknown,90000,500.0,2.0,unknown,False,,False,False,53.0
109,APARTMENT,APARTMENT,1,1.0,Bruxelles,Bruxelles,1200,1.0,86.0,AS_NEW,1961.0,2.0,GAS,unknown,E,325000,,3.0,unknown,False,,False,False,62.0
110,APARTMENT,PENTHOUSE,2,1.0,Bruxelles,Bruxelles,1180,5.0,110.0,AS_NEW,2021.0,3.0,unknown,USA_HYPER_EQUIPPED,B,580000,,50.0,unknown,False,,False,False,2.0
111,APARTMENT,DUPLEX,2,1.0,Bruxelles,Bruxelles,1180,3.0,156.0,GOOD,1933.0,2.0,GAS,USA_HYPER_EQUIPPED,F,520000,,25.0,unknown,False,,False,False,90.0
112,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1160,4.0,86.0,TO_BE_DONE_UP,1985.0,3.0,GAS,unknown,E,295000,,,RESIDENTIAL,False,,False,False,38.0
113,APARTMENT,DUPLEX,3,2.0,Flandres,Flandre Occidentale,8300,0.0,110.0,AS_NEW,2004.0,2.0,GAS,HYPER_EQUIPPED,B,1095000,,,unknown,False,4.0,False,False,19.0
114,APARTMENT,APARTMENT,2,1.0,Bruxelles,Bruxelles,1000,1.0,85.0,AS_NEW,1958.0,2.0,GAS,INSTALLED,D,275000,,,unknown,False,,False,False,65.0
115,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Occidentale,8300,3.0,55.0,JUST_RENOVATED,1989.0,2.0,GAS,USA_HYPER_EQUIPPED,B,640000,,,unknown,False,,False,False,34.0
116,HOUSE,HOUSE,2,1.0,Flandres,Limbourg,3665,,94.0,unknown,1938.0,,unknown,unknown,F,145000,,,unknown,False,,False,False,85.0
117,HOUSE,TOWN_HOUSE,3,1.0,Wallonie,Hainaut,6280,,180.0,GOOD,,2.0,PELLET,INSTALLED,B,199000,,,COUNTRY,False,,False,False,
118,APARTMENT,APARTMENT,2,1.0,Flandres,Anvers,2050,4.0,90.0,unknown,1965.0,2.0,FUELOIL,unknown,C,225000,,5.0,URBAN,False,,False,False,58.0
119,HOUSE,APARTMENT_BLOCK,0,,Flandres,Flandre Orientale,9090,,991.0,unknown,2012.0,,unknown,unknown,unknown,2295000,,,unknown,False,,False,False,11.0
120,HOUSE,MIXED_USE_BUILDING,4,1.0,Flandres,Flandre Orientale,9881,,300.0,AS_NEW,1977.0,,unknown,unknown,D,695000,,,unknown,False,,False,False,46.0
121,HOUSE,MANSION,3,1.0,Flandres,Flandre Orientale,9100,,330.0,TO_BE_DONE_UP,,,GAS,unknown,D,485000,,,unknown,False,,False,False,
122,HOUSE,HOUSE,4,1.0,Flandres,Limbourg,3660,,173.0,AS_NEW,1965.0,,GAS,HYPER_EQUIPPED,B,395000,,,COUNTRY,False,,False,False,58.0
123,HOUSE,VILLA,4,2.0,Flandres,Flandre Orientale,9840,,241.0,GOOD,2023.0,,unknown,INSTALLED,unknown,765000,,,URBAN,False,,False,False,0.0
124,HOUSE,HOUSE,2,1.0,Flandres,Limbourg,3590,,220.0,unknown,,,unknown,unknown,E,365000,,,unknown,False,,False,False,
125,HOUSE,HOUSE,4,2.0,Flandres,Flandre Orientale,9300,,400.0,unknown,,,GAS,INSTALLED,D,515000,,,unknown,False,19.0,False,False,
126,HOUSE,HOUSE,3,1.0,Flandres,Limbourg,3740,,205.0,AS_NEW,2008.0,,unknown,unknown,B,495000,,,URBAN,False,,False,False,15.0
127,HOUSE,HOUSE,5,,Flandres,Limbourg,3700,,,TO_RENOVATE,1845.0,2.0,unknown,unknown,E,177000,,,URBAN,False,,False,False,178.0
128,HOUSE,HOUSE,5,2.0,Flandres,Flandre Orientale,9310,,410.0,unknown,1993.0,,FUELOIL,HYPER_EQUIPPED,C,849000,,,unknown,False,16.0,False,False,30.0
129,HOUSE,HOUSE,4,2.0,Flandres,Brabant Flamand,3200,,177.0,AS_NEW,1952.0,3.0,GAS,INSTALLED,B,525000,203.0,,URBAN,False,4.0,False,False,71.0
130,HOUSE,HOUSE,2,1.0,Flandres,Flandre Occidentale,8560,,90.0,TO_RENOVATE,1930.0,,GAS,NOT_INSTALLED,F,95000,,,unknown,False,9.0,False,False,93.0
131,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9000,,137.0,TO_RENOVATE,,,GAS,unknown,F,249000,,,URBAN,False,,False,False,
132,HOUSE,HOUSE,2,,Flandres,Flandre Occidentale,8930,,,TO_BE_DONE_UP,1930.0,,GAS,SEMI_EQUIPPED,C,149000,,,unknown,False,11.0,False,False,93.0
133,HOUSE,HOUSE,3,1.0,Flandres,Flandre Orientale,9000,,164.0,TO_BE_DONE_UP,,,GAS,SEMI_EQUIPPED,C,365000,,,unknown,False,,False,False,
134,HOUSE,VILLA,4,2.0,Flandres,Flandre Occidentale,8460,,445.0,GOOD,1931.0,4.0,GAS,HYPER_EQUIPPED,D,649000,2202.0,,unknown,False,1.0,False,False,92.0
135,HOUSE,HOUSE,5,1.0,Flandres,Flandre Orientale,9000,,153.0,TO_BE_DONE_UP,,,GAS,INSTALLED,D,359000,,,unknown,False,,False,False,
136,HOUSE,HOUSE,2,1.0,Flandres,Flandre Orientale,9030,,97.0,TO_RENOVATE,1931.0,,unknown,INSTALLED,F,220000,,,unknown,False,,False,False,92.0
137,HOUSE,VILLA,5,3.0,Flandres,Anvers,2970,,500.0,AS_NEW,1994.0,,GAS,HYPER_EQUIPPED,C,1100000,,,RESIDENTIAL,False,6.0,False,False,29.0
138,HOUSE,HOUSE,3,1.0,Flandres,Limbourg,3960,,113.0,GOOD,1957.0,,GAS,INSTALLED,C,239500,249.0,,URBAN,False,,False,False,66.0
139,HOUSE,VILLA,5,3.0,Flandres,Anvers,2970,,500.0,GOOD,1994.0,,GAS,HYPER_EQUIPPED,C,1250000,,,RESIDENTIAL,False,6.0,False,False,29.0
140,HOUSE,VILLA,4,2.0,Flandres,Anvers,2970,,350.0,AS_NEW,,,GAS,HYPER_EQUIPPED,E,900000,,,RESIDENTIAL,False,,False,False,
141,HOUSE,HOUSE,4,2.0,Flandres,Flandre Orientale,9400,,270.0,GOOD,1933.0,2.0,unknown,INSTALLED,F,345000,,,URBAN,False,1.0,False,False,90.0
142,HOUSE,HOUSE,3,2.0,Flandres,Flandre Occidentale,8301,,129.0,GOOD,1967.0,2.0,GAS,HYPER_EQUIPPED,C,537000,,,unknown,False,1.0,False,False,56.0
143,HOUSE,MANOR_HOUSE,4,2.0,Flandres,Flandre Orientale,9400,,270.0,GOOD,1933.0,2.0,unknown,INSTALLED,F,345000,,,URBAN,False,1.0,False,False,90.0
144,HOUSE,HOUSE,4,1.0,Flandres,Flandre Orientale,9982,,155.0,TO_BE_DONE_UP,,4.0,FUELOIL,INSTALLED,F,249000,,,COUNTRY,False,21.0,False,False,
145,HOUSE,HOUSE,3,,Flandres,Flandre Orientale,9400,,,TO_RENOVATE,,,unknown,unknown,unknown,310000,,,RESIDENTIAL,False,,False,False,
146,APARTMENT,APARTMENT,1,1.0,Flandres,Anvers,2140,14.0,45.0,unknown,1978.0,3.0,unknown,unknown,B,149000,,10.0,unknown,False,,False,False,45.0
147,HOUSE,HOUSE,2,1.0,Flandres,Flandre Occidentale,8850,,121.0,unknown,,,GAS,INSTALLED,B,275000,,,unknown,False,13.0,False,False,
148,APARTMENT,APARTMENT,1,1.0,Flandres,Anvers,2018,5.0,65.0,unknown,,3.0,FUELOIL,INSTALLED,E,299000,,,URBAN,False,,False,False,
149,APARTMENT,APARTMENT,2,1.0,Flandres,Anvers,2140,8.0,80.0,unknown,1978.0,2.0,unknown,unknown,B,174900,,8.0,unknown,False,,False,False,45.0
150,HOUSE,HOUSE,3,1.0,Wallonie,Hainaut,7711,,189.0,AS_NEW,,4.0,unknown,unknown,A+,495309,,,unknown,False,,False,False,
