,type_of_property,subtype_of_property,bedrooms,bathrooms,region,province,postal_code,floor,living_area,state_of_property,year_of_construction,facade_count,heating,kitchen,epc_score,price,garden,terrace,neighborhood_type,fireplace,rooms,furnished,pools,age_of_property
8205,HOUSE,HOUSE,4,1.0,Flandres,Brabant Flamand,1600,,150.0,TO_BE_DONE_UP,1952.0,2.0,GAS,unknown,E,340000,,,RESIDENTIAL,False,1.0,False,False,71.0
8206,HOUSE,TOWN_HOUSE,4,4.0,Flandres,Flandre Occidentale,8000,,538.0,JUST_RENOVATED,,,GAS,unknown,B,2870000,,,unknown,True,6.0,False,False,
8207,HOUSE,HOUSE,3,1.0,Flandres,Limbourg,3920,,145.0,GOOD,2023.0,3.0,GAS,HYPER_EQUIPPED,unknown,379000,,,unknown,False,,False,False,0.0
8208,HOUSE,HOUSE,4,3.0,Flandres,Flandre Occidentale,8400,,,GOOD,,2.0,GAS,unknown,B,435000,,,URBAN,False,1.0,False,False,
8209,HOUSE,HOUSE,3,1.0,Flandres,Limbourg,3920,,145.0,GOOD,2023.0,3.0,GAS,HYPER_EQUIPPED,unknown,379000,,,unknown,False,,False,False,0.0
8210,HOUSE,HOUSE,3,1.0,Flandres,Brabant Flamand,1800,,210.0,GOOD,1930.0,3.0,GAS,HYPER_EQUIPPED,F,530000,,,unknown,False,,False,False,93.0
8211,HOUSE,VILLA,4,2.0,Flandres,Flandre Occidentale,8490,,270.0,GOOD,1984.0,4.0,ELECTRIC,unknown,D,775000,,,FITTED_OUT,False,1.0,False,False,39.0
8212,HOUSE,HOUSE,3,1.0,Flandres,Flandre Occidentale,8520,,154.0,GOOD,2023.0,3.0,unknown,unknown,unknown,385000,,15.0,FITTED_OUT,False,1.0,False,False,0.0
8213,HOUSE,HOUSE,4,1.0,Bruxelles,Bruxelles,1200,,,GOOD,,3.0,GAS,unknown,G,635000,30.0,,unknown,False,,False,False,
8214,HOUSE,COUNTRY_COTTAGE,6,2.0,Wallonie,Hainaut,6560,,260.0,unknown,,,unknown,INSTALLED,D,340000,500.0,25.0,unknown,False,,False,False,
8215,HOUSE,COUNTRY_COTTAGE,6,2.0,Wallonie,Hainaut,6500,,260.0,unknown,,,unknown,INSTALLED,D,340000,500.0,25.0,unknown,False,,False,False,
8216,HOUSE,COUNTRY_COTTAGE,6,2.0,Wallonie,Hainaut,6470,,260.0,unknown,,,unknown,INSTALLED,D,340000,500.0,25.0,unknown,False,,False,False,
8217,HOUSE,HOUSE,4,1.0,Flandres,Flandre Occidentale,8310,,176.0,GOOD,,3.0,GAS,unknown,unknown,345000,,,unknown,True,5.0,False,False,
8218,HOUSE,APARTMENT_BLOCK,5,1.0,Wallonie,Liège,4624,,190.0,unknown,,2.0,GAS,INSTALLED,E,275000,290.0,,unknown,False,,False,False,
8219,HOUSE,HOUSE,2,1.0,Flandres,Anvers,2590,,100.0,GOOD,1952.0,4.0,GAS,INSTALLED,C,345000,,,RESIDENTIAL,True,,False,False,71.0
8220,HOUSE,HOUSE,4,1.0,Wallonie,Hainaut,6560,,144.0,unknown,,3.0,ELECTRIC,INSTALLED,unknown,227500,190.0,40.0,unknown,False,,False,False,
8221,HOUSE,HOUSE,5,2.0,Flandres,Flandre Occidentale,8750,,250.0,GOOD,1937.0,2.0,GAS,unknown,unknown,389000,,,unknown,False,,False,False,86.0
8222,HOUSE,HOUSE,4,1.0,Wallonie,Hainaut,6500,,144.0,unknown,,3.0,ELECTRIC,INSTALLED,unknown,227500,190.0,40.0,unknown,False,,False,False,
8223,APARTMENT,PENTHOUSE,4,2.0,Flandres,Flandre Orientale,9950,2.0,175.0,GOOD,2015.0,2.0,GAS,unknown,B,350000,,,unknown,False,,False,False,8.0
8224,HOUSE,HOUSE,3,1.0,Flandres,Flandre Occidentale,8200,,155.0,TO_BE_DONE_UP,1952.0,4.0,GAS,INSTALLED,E,425000,,,RESIDENTIAL,False,,False,False,71.0
8225,APARTMENT,APARTMENT,4,2.0,Flandres,Flandre Orientale,9950,2.0,175.0,GOOD,2015.0,2.0,GAS,unknown,B,350000,,,unknown,False,,False,False,8.0
8226,APARTMENT,DUPLEX,4,2.0,Flandres,Flandre Orientale,9950,2.0,175.0,GOOD,2015.0,2.0,GAS,unknown,B,350000,,,unknown,False,,False,False,8.0
8227,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Occidentale,8790,1.0,74.0,GOOD,2017.0,2.0,GAS,unknown,A,265000,,,unknown,False,,False,False,6.0
8228,APARTMENT,FLAT_STUDIO,1,,Bruxelles,Bruxelles,1040,3.0,52.0,unknown,,3.0,GAS,INSTALLED,E,199000,,,RESIDENTIAL,False,,False,False,
